State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
North Carolina,,Program of All Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),"Senior Total Life Care, Inc.","Serving the following zip codes in Cleveland, Gaston and Lincoln Counties:28006, 28012, 28016, 28021, 28032, 28033, 28034, 28052, 28053, 28054, 28055, 28056, 28077, 28080, 28086, 28092, 28098, 28101, 28120, 28164, 28021, 28073, 28086, 28150, 28152, 28006, 28021, 28033, 28080, 28164",141,50,191,2017,"North Carolina
(35.52603, -79.130883)","Senior Total Life Care, Inc."
California,,Dental Managed Care/Los Angeles (Dental only (PAHP)),LIBERTY Dental Plan/Los Angeles,Los Angeles County,62221,5175,67396,2017,"California
(37.211164, -119.662127)",LIBERTY Dental Plan
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Berks County HealthChoices,Berks county,77614,8576,86190,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),VieCare Armstrong H-6188,Armstrong County,3,48,51,2017,"Pennsylvania
(40.896694, -77.838886)",Lutheran SeniorLife
Florida,,Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),"Suncoast Neighborly Care, Inc.",Pinellas County,274,13,287,2017,"Florida
(28.260731, -82.420978)",Empath Health
Texas,,PACE (Program of All-inclusive Care for the Elderly (PACE)),The Basics at Jan Werner (Amarillo),"9015, 79101, 79102, 79103, 79104, 79106, 79107, 79108, 79109, 79110, 79111, 79118, 79119, 79121, 79124",3,120,123,2017,"Texas
(31.447238, -99.317341)",The Basics at Jan Werner (Amarillo)
New York,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Complete Senior Care,Niagara County,10,116,126,2017,"New York
(42.921241, -75.59655)",Complete Senior Care
Tennessee,"Beneficiaries can simultaneously enroll in (1) Magellan Health services, (2) DentaQuest USA Insurance Company, and (3) another comprehensive MCO. The de-duplicated total enrollment in comprehensive MCOs is 1,409,266.",TennCare II (Comprehensive MCO + MLTSS),Magellan Health Services,Statewide,1261892,329,1262221,2017,"Tennessee
(35.842998, -86.343226)",Magellan Health Services
Maryland,,Hopkins Elder Plus (Program of All-inclusive Care for the Elderly (PACE)),Hopkins Elder Plus,"21052, 21202, 21205, 21206, 21213, 21214, 21217, 21218, 21219, 21220, 21221, 21222, 21224, 21227, 21231, 21237",5,97,102,2017,"Maryland
(38.946466, -76.687282)",John's Hopkins
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Trilogy Health Insurance,"Counties: Brown, Dodge, Green Lake, Kenosha, Marinette, Milwaukee, Oconto, Outagamie, Ozaukee, Racine, Shawano, Sheboygan, Washington, Waukesha, Waupaca, Waushara, Winnebago",9233,8,9241,2017,"Wisconsin
(44.639954, -89.732969)",Trilogy Health Insurance
Ohio,,MyCare Ohio Opt-out (Comprehensive MCO + MLTSS),Buckeye Health Plan,"Northeast, Northwest, West Central Regions",0,8395,8395,2017,"Ohio
(40.415534, -82.70936)",Centene
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",Healthy Options - Blind Disabled (Comprehensive MCO),Coordinated Care of Washington,"Adams, Asotin, Benton, Chelan,  Columbia,  Douglas,  Franklin,  Grant, Island, Jefferson, King, Kitsap, Kittitas,  Lewis, Lincoln, Mason, Okanogan, Pacific,  Pierce, San Juan, Skagit,  Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",12205,0,12205,2017,"Washington
(47.411715, -120.592492)",Coordinated Care of Washington
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Fallon Health Weinberg,"Erie, Niagara counties",71,502,573,2017,"New York
(42.921241, -75.59655)",Fallon Health Weinberg
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Solano,Solano County,97516,13333,110849,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
Colorado,,Accountable Care Collaborative (Primary Care Case Management Entity (PCCM Entity)),RCCO 6: Colorado Community Health Alliance,"Boulder, Broomfield, Clear Creek, Gilpin and Jefferson Counties",132024,7861,139885,2017,"Colorado
(38.998552, -105.547832)",Colorado Community Health Alliance
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),YourCare Health Plan,"Allegany, Cattaraugus, Chautauqua, Erie, Monroe, Ontario, Wyoming counties",43370,0,43370,2017,"New York
(42.921241, -75.59655)",YourCare Health Plan
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",PCCM (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,"Clallam, Grays Harbor, King, Snohomish, Whatcom, Okanogan, Ferry, Stevens, Lincoln, Spokane, Benton and Yakima.",6729,0,6729,2017,"Washington
(47.411715, -120.592492)",Multiple Primary Care Providers
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",Fully Integrated Managed Care (FIMC) (Comprehensive MCO),Community Health Plan of Washington,Clark and Skamania Counties,18340,0,18340,2017,"Washington
(47.411715, -120.592492)",Community Health Plan of Washington
Virginia,,Medallion 3.0 (Comprehensive MCO),Optima Family Care,Statewide,166574,0,166574,2017,"Virginia
(37.510861, -78.666382)",Sentara Health Care
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Freedom Health, Inc.","Regions 3, 5, 6, 7, 8, 9, 10, and 11",33,84,117,2017,"Florida
(28.260731, -82.420978)","Freedom Health, Inc."
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Molina Health Plan,"Counties: Brown, Calumet, Clark, Dodge, Door, Florence, Fond du Lac, Forest, Green Lake, Jefferson, Kenosha, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Marquette, Milwaukee, Oconto, Oneida, Outagamie, Ozaukee, Portage, Racine, Shawano, Sheboygan, Taylor, Vilas, Walworth, Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood",61483,34,61517,2017,"Wisconsin
(44.639954, -89.732969)",Molina Health Plan
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Sierra,Sierra County,375,24,399,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Philadelphia County HealthChoices,Philadelphia  county,542169,58640,600809,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Sentara Pace Norfolk,"23457, 23459, 23460, 23461, 23462, 23463, 23464, 23502, 23503, 23504, 23505, 23507, 23508, 23509, 23510, 23511, 23513, 23517, 23518, 23521, 23523, 23529, 23701, 23702, 23703, 23704, 23707, 23709",12,149,161,2017,"Virginia
(37.510861, -78.666382)",Sentara
Massachusetts,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Neighborhood PACE,"02151, 02176, 02180, 02148, 02149, 02150, 02153, 02152, 02228",53,465,518,2017,"Massachusetts
(42.151077, -71.481104)",Neighborhood PACE
Illinois,,Family Health Plan/Affordable Care Act (Comprehensive MCO + MLTSS),Molina Healthcare of Illinois,"Cook, Knox, Stark, Peoria, Tazewell, McLean, Ford, Vermilion, Champaign, Piatt, DeWitt, Macon, Logan, Christian, Sangamon, Menard, Madison, St. Clair and Clinton counties",153444,0,153444,2017,"Illinois
(40.124144, -89.148632)",Molina Healthcare
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Mariposa,Mariposa county,2832,99,2931,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Kentucky,,Kentucky Medicaid Managed Care (Comprehensive MCO),Aetna Better Health of Kentucky,Statewide,225530,17240,242770,2017,"Kentucky
(37.526683, -85.290484)",Aetna
Colorado,,Colorado Medicaid Community Behavioral Health Services Program (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Access Behavioral Care - Northeast,"Cheyenne, Elbert, Kit Carson, Larimer, Lincoln, Logan, Morgan, Phillips, Sedgwick, Washington, Weld and Yuma Counties",153904,9671,163575,2017,"Colorado
(38.998552, -105.547832)",Access Behavioral Care - Northeast
Wisconsin,,WrapAround Milwaukee (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),WrapAround Milwaukee,County: Milwaukee,1125,4,1129,2017,"Wisconsin
(44.639954, -89.732969)",WrapAround Milwaukee
Wisconsin,,BadgerCare Plus (Comprehensive MCO),UnitedHealthcare Community Plan,"Counties: Adams, Ashland, Barron, Bayfield, Brown, Burnett, Calumet, Chippewa, Columbia, Crawford, Dane, Dodge, Door, Douglas, Eau Claire, Florence, Fond du Lac, Forest, Green, Green Lake, Jefferson, Kenosha, Kewaunee, La Crosse, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Marquette, Menominee, Milwaukee, Monroe, Oconto, Oneida, Outagamie, Ozaukee, Pierce, Polk, Portage, Price, Racine, Rock,  St. Croix, Sauk, Sawyer, Shawano, Sheboygan, Taylor, Trempealeau, Vernon, Vilas, Walworth, Washburn, Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood",139866,223,140089,2017,"Wisconsin
(44.639954, -89.732969)",UnitedHealthcare Community Plan
New York,,Medicaid Advantage (Comprehensive MCO),NYS Catholic Health Plan/Fidelis,New York City &  34 counties,28,1457,1485,2017,"New York
(42.921241, -75.59655)",NYS Catholic Health Plan/Fidelis
Colorado,,Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Total Longterm Care - Innovage Loveland,Larimer and Weld County,0,156,156,2017,"Colorado
(38.998552, -105.547832)","Total Community Options, Inc."
North Dakota,,PCCM (Primary Care Case Management (PCCM)),Multiple Primary Care Providers (PCCM),Statewide,49399,0,49399,2017,"North Dakota
(47.446305, -100.46931)",Multiple Primary Care Providers (PCCM)
New York,,Health and Recovery Plans (Comprehensive MCO),Molina HealthCare of New York,"Cortland, Onondaga, Tompkins counties",1364,0,1364,2017,"New York
(42.921241, -75.59655)",Molina HealthCare
Colorado,,Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Total Longterm Care - Innovage Greater Colorado PACE,"Adams, Arapahoe, Broomfield, Denver and Jefferson Counties",112,2245,2357,2017,"Colorado
(38.998552, -105.547832)","Total Community Options, Inc."
Kentucky,,Kentucky Medicaid Managed Care (Comprehensive MCO),Passport Health Plan,Statewide,294634,10249,304883,2017,"Kentucky
(37.526683, -85.290484)",Passport Health Plan
New Jersey,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Lutheran Senior LIFE of Jersey City,"07002, 07030, 07047, 07086, 07087, 07093, 07094, 07302, 07304, 07305, 07306, 07307, 07310, 07311",13,115,128,2017,"New Jersey
(40.110253, -74.655514)",Lutheran Social Ministers of NJ
California,,Regional Model (Comprehensive MCO),Kaiser/Placer,Placer County,6442,161,6603,2017,"California
(37.211164, -119.662127)",Kaiser Permanente
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Madera,Madera County,18782,470,19252,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Utah,,Dental (Dental only (PAHP)),Delta Dental,"Davis, Salt Lake, Weber, and Utah counties.",63985,28,64013,2017,"Utah
(39.323779, -111.678222)",Delta Dental Insurance Co.
Michigan,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.,Specialty Prepaid Inpatient Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Oakland County CMH Authority,Oakland,175362,0,175362,2017,"Michigan
(44.874798, -85.730977)",Oakland County CMH Authority
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Cambria County HealthChoices,Cambria County,26447,3998,30445,2017,"Pennsylvania
(40.896694, -77.838886)",Magellan Health
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),HIP Combined,"New York City & Nassau, Suffolk, Westchester counties",154495,0,154495,2017,"New York
(42.921241, -75.59655)",HIP Combined
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),New Courtland LIFE H-9830,Philadelphia County (partial),40,524,564,2017,"Pennsylvania
(40.896694, -77.838886)",Presbyterian Foundation for Philadelphia; Innovage as of 8/2018
Pennsylvania,,MATP (Medical Assistance Transportation Program) (Non-Emergency Medical Transportation),Logisticare,Philadelphia  County,546802,75251,622053,2017,"Pennsylvania
(40.896694, -77.838886)",N/A
South Carolina,,South Carolina Managed Care Organizations (Comprehensive MCO),Absolute Total Care,Statewide,118615,0,118615,2017,"South Carolina
(33.878572, -80.864614)",Centene
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Fresno PACE,Fresno County,121,215,336,2017,"California
(37.211164, -119.662127)",Central Valley Medical Services Corporation
Massachusetts,,Senior Care Options (Comprehensive MCO + MLTSS),Navicare HMO,"Barnstable, Brisol, Essex, Franklin, Hampden, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester Counties",328,5404,5732,2017,"Massachusetts
(42.151077, -71.481104)",Navicare HMO
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Alpine,Alpine County,131,10,141,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Oklahoma,,SoonerRide (Non-Emergency Medical Transportation),SoonerRide,Statewide,538328,114624,652952,2017,"Oklahoma
(35.583449, -97.508297)",SoonerRide
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Health Choice Arizona,"Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pima & Pinal Counties",239338,14920,254258,2017,"Arizona
(34.293239, -111.664616)",IASIS Healthcare LLC/Steward
Minnesota,,Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS),Blue Plus,Statewide,421,3533,3954,2017,"Minnesota
(46.349153, -94.198308)",Blue Cross and Blue Shield of Minnesota
Wisconsin,,SSI Managed Care (Comprehensive MCO),Anthem Blue Cross Blue Shield,"Counties: Brown, Calumet, Dane, Dodge, Door, Florence, Fond du Lac, Forest, Green Lake, Jefferson, Kenosha, Kewaunee, Langlade, Manitowoc, Marinette, Marquette, Menominee, Milwaukee, Oconto, Outagamie, Ozaukee, Polk, Portage, Racine, Rock, Shawano, Sheboygan, Taylor, Walworth, Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood",1092,371,1463,2017,"Wisconsin
(44.639954, -89.732969)",Anthem Blue Cross Blue Shield
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Inland Empire Health Plan/San Bernardino,San Bernardino County,600465,33593,634058,2017,"California
(37.211164, -119.662127)",Inland Empire Health Plan
Utah,,Choice of Health Care Delivery (Comprehensive MCO),Molina,"Box Elder, Cache, Davis, Iron, Morgan, Rich, Salt Lake, Summit, Tooele, Utah, Wasatch, Washington, and Weber counties",67290,6912,74202,2017,"Utah
(39.323779, -111.678222)",Molina Healthcare
Pennsylvania,,HealthChoices - Physical Health (Comprehensive MCO),United Healthcare Community Plan of Pennsylvania,"Southeast, Southwest, Lehigh/Capital",221799,761,222560,2017,"Pennsylvania
(40.896694, -77.838886)","UnitedHealth Group, Inc."
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Cenpatico Integrated Care,"Cochise, Graham, Greenlee, LaPaz, Pima, Pinal, S Cruz, & Yuma Counties",8829,4519,13348,2017,"Arizona
(34.293239, -111.664616)",Centene Corporation/Banner University Family Care
Delaware,,Diamond State Health Plan (Comprehensive MCO + MLTSS),UnitedHealthcare Community Plan,Statewide,87084,3759,90843,2017,"Delaware
(38.994926, -75.452394)",UnitedHealth Group
Texas,,STAR Kids (Comprehensive MCO + MLTSS),Texas Children's Health Plan,"Harris SDA, Jefferson SDA, MRSA Northeast SDA",25577,0,25577,2017,"Texas
(31.447238, -99.317341)",Texas Children's Health Plan
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),MetroPlus Health Plan,New York City,380013,0,380013,2017,"New York
(42.921241, -75.59655)",Metroplus Health Plan
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),"Access Dental Plan, LLC","Clackamas, Multnomah, and Washington Counties",1666,82,1748,2017,"Oregon
(43.940449, -120.605279)","Access Dental Plan, LLC"
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),Senior LIFE Lehigh H-5978,"Lehigh, Northampton and Berks counties",22,291,313,2017,"Pennsylvania
(40.896694, -77.838886)",Senior LIFE
Nevada,,Non-Emergency Transportation (Non-Emergency Medical Transportation),Medical Transportation Management (MTM Nevada),Statewide,578683,0,578683,2017,"Nevada
(39.283294, -114.916992)",MTM Inc
North Carolina,,1915(b)/(c) Medicaid Waiver for MH/DD/SA Services (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Partners Behavioral Health Management,"Counties: Burke, Catawba, Cleveland, Gaston, Iredell, Lincoln, Surry, Yadkin",135759,18223,153982,2017,"North Carolina
(35.52603, -79.130883)",Partners Behavioral Health Management
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Children’s Community Health Plan,"Counties: Brown, Calumet, Kenosha, Milwaukee, Outagamie, Ozaukee, Racine, Sheboygan, Walworth,  Washington, Waukesha, Waupaca,  Winnebago",128889,73,128962,2017,"Wisconsin
(44.639954, -89.732969)",Children’s Community Health Plan
Illinois,,Integrated Care Program (Comprehensive MCO + MLTSS),Blue Cross Blue Shield of Illinois,"Lake, Cook, DuPage, Kane, Will and Kankakee counties",14970,0,14970,2017,"Illinois
(40.124144, -89.148632)",Health Care Service Corporation
North Dakota,,North Dakota Medicaid Expansion (Comprehensive MCO),ND Medicaid Expansion MCO,Statewide,20515,0,20515,2017,"North Dakota
(47.446305, -100.46931)",Sanford Health Plan
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Area Agency on Aging of West Michigan,"Allegan, Ionia, Kent, Lake, Mason, Mecosta, Montcalm, Newaygo, Osceola",40,809,849,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
Texas,,STAR (Comprehensive MCO),Sendero,Travis SDA,13241,0,13241,2017,"Texas
(31.447238, -99.317341)",Sendero
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Lake,Lake County,25989,4682,30671,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
California,,Two-Plan Model (Comprehensive MCO + MLTSS),CalViva Health/Madera,Madera County,35396,1038,36434,2017,"California
(37.211164, -119.662127)",CalViva Health
California,,Regional Model (Comprehensive MCO),Kaiser/El Dorado,El Dorado County,1834,42,1876,2017,"California
(37.211164, -119.662127)",Kaiser Permanente
Louisiana,,PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE - Lafayette,"70501, 70503, 70506, 70507, 70508, 70517, 70518, 70520, 70529, 70578, 70583, 70584, 70592",3,81,84,2017,"Louisiana
(30.921314, -91.840238)",PACE - Lafayette
New York,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Total Senior Care,"Allegany, Cattaraugus counties",12,99,111,2017,"New York
(42.921241, -75.59655)",Total Senior Care
New Hampshire,,New Hampshire Medicaid Care Management (Comprehensive MCO),New Hampshire Healthy Families,Statewide,50528,8258,58786,2017,"New Hampshire
(43.680429, -71.57139)",Centene
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Optum Health,Salt Lake County,94961,10644,105605,2017,"Utah
(39.323779, -111.678222)",Optum Health
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Health Plan of San Mateo,San Mateo,103055,9059,112114,2017,"California
(37.211164, -119.662127)",Health Plan of San Mateo
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),AlphaCare,New York City & Westchester County,910,3214,4124,2017,"New York
(42.921241, -75.59655)",AlphaCare
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE of Southwest MI,"Berrien, Cass, Van Buren",5,156,161,2017,"Michigan
(44.874798, -85.730977)","Independent corporation with a board comprised with equal representation:  Region IV AAA, Lakeland Healthcare, and Hospice at Home."
Pennsylvania,,HealthChoices - Physical Health (Comprehensive MCO),Vista,"Southeast, Lehigh/Capital, Northwest, Northeast",691614,2337,693951,2017,"Pennsylvania
(40.896694, -77.838886)",Vista
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Region 2 Area Agency on Aging,"Hillsdale, Jackson, Lenawee",28,562,590,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
Indiana,,Healthy Indiana Plan (2.0) (Comprehensive MCO),"Caresource Indiana, Inc",Statewide,21483,158,21641,2017,"Indiana
(39.919991, -86.2818)",Caresource Management Group
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Senior Whole Health,New York City,918,7611,8529,2017,"New York
(42.921241, -75.59655)",Senior Whole Health
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),AllCare Health Plan,"Curry, Douglas (97410, 97442 only), Jackson, and Josephine Counties",45895,2208,48103,2017,"Oregon
(43.940449, -120.605279)",AllCare Health Plan
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Four Corners Community Behavioral Health,"Grand, Emery, and Carbon counties",4675,628,5303,2017,"Utah
(39.323779, -111.678222)",Four Corners Community Behavioral Health
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),Capital District Physician's Health Plan,"Albany, Broome, Columbia, Fulton, Greene, Montgomery, Rensselaer, Saratoga, Schenectady, Schoharie, Tioga, Washington counties",84041,0,84041,2017,"New York
(42.921241, -75.59655)",Capital District Physician's Health Plan
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Tulare,Tulare County,92725,3118,95843,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Illinois,,Integrated Care Program (Comprehensive MCO + MLTSS),Molina Healthcare of Illinois,"Knox, Stark, Peoria, Tazewell, McLean, Ford, Vermilion, Champaign, Piatt, DeWitt, Macon, Logan, Christian, Sangamon, Menard, Madison, St. Clair and Clinton counties",5123,0,5123,2017,"Illinois
(40.124144, -89.148632)",Molina Healthcare
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Riverside PACE Newport News,"23601, 23602, 23603, 23604, 23605, 23606, 23607  23608, 23651, 23662, 23663, 23665, 23666, 23669, 23692  23693, 23696",14,228,242,2017,"Virginia
(37.510861, -78.666382)",Riverside Health Systems
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Sutter,Sutter County,22089,607,22696,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),GuildNet,"New York City & Nassau, Suffolk, Westchester counties",788,9842,10630,2017,"New York
(42.921241, -75.59655)",GuildNet
New York,,Medicaid Advantage Plus (Comprehensive MCO + MLTSS),GuildNet,"New York City & Nassau, Suffolk counties",6,623,629,2017,"New York
(42.921241, -75.59655)",GuildNet
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Health Net/Los Angeles,Los Angeles County,879689,139007,1018696,2017,"California
(37.211164, -119.662127)",Centene Corporation
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),North Shore - LIJ Health Plan,"New York City & Nassau, Suffolk counties",522,5125,5647,2017,"New York
(42.921241, -75.59655)",North Shore - LIJ Health Plan
New York,,Medicaid Advantage (Comprehensive MCO),Affinity,New York City,3,223,226,2017,"New York
(42.921241, -75.59655)",Affinity
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Gundersen Health Plan,"Counties: Buffalo, Crawford, Grant, Jackson, Juneau, La Crosse, Monroe, Richland, Sauk, Trempealeau, Vernon",16360,15,16375,2017,"Wisconsin
(44.639954, -89.732969)",Gundersen Health Plan
South Carolina,,South Carolina Managed Care Organizations (Comprehensive MCO),WellCare of South Carolina,Statewide,85244,0,85244,2017,"South Carolina
(33.878572, -80.864614)",WellCare
South Carolina,,South Carolina Managed Care Organizations (Comprehensive MCO),BlueChoice HealthPlan Medicaid,Statewide,98342,0,98342,2017,"South Carolina
(33.878572, -80.864614)",Blue Cross Blue Shield
North Carolina,,Program of All Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),LIFE St. Joseph of the Pines Inc,"Serving the following zip codes in Cumberland, Harnett Hoke, Moore and Robeson Counties:28301, 28302, 28303, 28304, 28305, 28306, 28307, 28308, 28309, 28310, 28311, 28312, 28314, 28318, 28342, 28344, 28348, 28356, 28371, 28382, 28390, 28391, 28395, 28315, 28326, 28373, 28376, 28357, 28371, 28377, 28384, 28315, 28357, 28376, 28377, 28386, 28314, 28334, 28339",161,78,239,2017,"North Carolina
(35.52603, -79.130883)",LIFE St. Joseph of the Pines Inc
Georgia,,Planning for Healthy Babies (Other Prepaid Health Plan (PHP) (limited benefits)),WellCare of Georgia,Statewide,3238,0,3238,2017,"Georgia
(32.638481, -83.426574)",WellCare
Wisconsin,,BadgerCare Plus (Comprehensive MCO),MercyCare Insurance Company,"Counties: Dane, Green, Jefferson, Rock, Walworth",13715,15,13730,2017,"Wisconsin
(44.639954, -89.732969)",MercyCare Insurance Company
Louisiana,,Healthy Louisiana BHO (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),AmeriHealth Caritas,Statewide,2149,18804,20953,2017,"Louisiana
(30.921314, -91.840238)",AmeriHealth Caritas
Kansas,,KanCare (Comprehensive MCO + MLTSS),United Healthcare Community Plan of Kansas,Statewide,125351,12371,137722,2017,"Kansas
(38.484729, -98.38018)","United Healthcare Services, Inc."
California,,Regional Model (Comprehensive MCO),Kaiser/Amador,Amador County,87,2,89,2017,"California
(37.211164, -119.662127)",Kaiser Permanente
Florida,,Managed Medical Assistance Program (Comprehensive MCO),Prestige Health Choice,"Regions 2, 3, 5, 6, 7, 8, 9, and 11",310695,13626,324321,2017,"Florida
(28.260731, -82.420978)",Prestige Health Choice
